CH3Br,200,1000,-94026.907,1840.000831,-9.86488604,0.046594508,-5.55E-05,3.62E-08,-9.72E-12
CH3Br,1000,6000,2527864.778,-9944.07961,18.16202878,-0.001505577,2.51E-07,-2.23E-11,8.17E-16
CH3I,200,1000,-61165.9562,1318.813654,-6.97350307,0.040511618,-4.87E-05,3.24E-08,-8.91E-12
CH3I,1000,6000,2383399.561,-9638.34938,18.25800252,-0.001619118,2.87E-07,-2.72E-11,1.07E-15
CH3OH,200,1000,-230981.6277,3960.87941,-20.67161305,0.070110147,-7.78E-05,4.74E-08,-1.20E-11
CH3OH,1000,6000,3291267.75,-13203.71551,22.359442,-0.00201566,3.41E-07,-3.09E-11,1.16E-15
ClO,200,1000,-2420.039415,1.375749367,3.54885952,0.003153261,-4.41E-06,3.08E-09,-8.47E-13
ClO,1000,6000,-55551.75,6.04896812,4.48124201,9.04E-05,-1.81E-09,2.30E-13,1.58E-17
ClONO2,200,1000,62505.9225,-854.287948,6.80328,0.017288602,-2.06E-05,1.23E-08,-2.99E-12
ClONO2,1000,6000,-204809.7203,-1622.853596,14.17701392,-0.000462849,1.01E-07,-1.15E-11,5.33E-16
COF2,200,1000,52632.8289,-461.84535,2.774035856,0.018319517,-2.13E-05,1.27E-08,-3.10E-12
COF2,1000,6000,-40750.5582,-1973.977805,11.40360492,-0.000543696,1.18E-07,-1.33E-11,6.08E-16
GeH4,200,1000,104910.4471,-1052.37624,5.45852011,0.008228255,-1.20E-06,-1.74E-09,5.58E-13
GeH4,1000,6000,1060382.381,-7057.10224,17.81872709,-0.001813156,3.84E-07,-4.27E-11,1.93E-15
H2O2 ,200,1000,-91473.4923,1541.838551,-5.8300389,0.032286226,-3.87E-05,2.46E-08,-6.34E-12
H2O2 ,1000,6000,1505950.346,-5241.73531,11.3841593,-0.000133364,-5.53E-09,5.60E-12,-4.17E-16
HBr,200,1000,18881.35397,-313.6382913,5.51961022,-0.00624833,9.31E-06,-5.67E-09,1.27E-12
HBr,1000,6000,1176414.357,-3810.65677,7.53853061,-0.001310648,3.30E-07,-3.62E-11,1.24E-15
HNO3,200,1000,13579.44536,61.4735541,-0.301249117,0.029701851,-3.19E-05,1.73E-08,-3.81E-12
HNO3,1000,6000,-99376.8777,-2720.152239,14.49411507,-0.000783699,1.71E-07,-1.94E-11,8.89E-16
HO2,200,1000,-77910.6727,1356.493458,-4.82771166,0.02550356,-3.07E-05,1.94E-08,-4.98E-12
HO2,1000,5000,-1745715.5,4783.4929,-0.852157844,0.004465275,-1.04E-06,1.11E-10,-4.60E-15
HOBr,200,1000,-6380.12803,253.6677964,0.878020051,0.01497076,-2.11E-05,1.51E-08,-4.24E-12
HOBr,1000,6000,766839.144,-2530.586519,7.65372105,3.32E-05,-4.92E-08,8.92E-12,-5.23E-16
HOCl,200,1000,-16744.63913,459.169476,-0.444731434,0.017846481,-2.43E-05,1.70E-08,-4.70E-12
HOCl,1000,6000,773062.124,-2665.594429,7.78916664,-2.82E-05,-3.48E-08,7.20E-12,-4.41E-16
NH3,200,1000,-69230.9709,1082.323341,-2.164172163,0.01457536,-1.14E-05,5.83E-09,-1.30E-12
NH3,1000,6000,3068093.467,-9742.22137,13.89618631,-0.000756052,5.38E-08,2.62E-12,-4.11E-16
PH3,200,1000,-24969.68335,676.86772,-1.684504087,0.01766581,-1.46E-05,7.75E-09,-2.04E-12
PH3,1000,6000,1290688.225,-6624.21433,14.36871146,-0.001599887,3.32E-07,-3.63E-11,1.62E-15
OH,200,1000,-2511.760119,100.2006472,3.011762224,0.001634983,-3.30846E-06,3.42403E-09,-1.16985E-12
OH,1000,6000,1015060.999,-2503.983925,5.11068667,0.000133363,-8.3573E-08,2.01594E-11,-1.56183E-15
